customer_id,age,income,region,credit_limit,signup_date
1,25,51815,Urban_Mid_Income,19586,2022-11-27
2,28,47446,Suburban,29675,2022-11-05
3,34,48077,Rural,18793,2022-10-04
4,42,63499,Suburban,31745,2023-04-21
5,38,42221,Rural,25720,2023-07-21
6,59,59555,Rural,38124,2022-06-16
7,43,98555,Urban_High_Income,48559,2022-12-12
8,32,108862,Urban_High_Income,39301,2023-05-24
9,36,28657,Rural,11208,2023-01-23
10,80,126395,Urban_Mid_Income,49600,2023-12-04
11,18,20000,Rural,15266,2022-09-28
12,26,28160,Urban_High_Income,12268,2022-02-22
13,43,80079,Suburban,35074,2022-06-06
14,31,46417,Rural,14053,2022-05-19
15,55,91437,Urban_Mid_Income,55135,2023-05-05
16,19,58159,Urban_Mid_Income,19296,2023-02-11
17,56,118977,Suburban,52036,2023-07-01
18,47,65697,Suburban,44699,2022-08-06
19,32,60247,Urban_Mid_Income,31308,2023-11-22
20,20,74698,Urban_High_Income,41404,2023-04-30
21,64,80733,Urban_Mid_Income,33456,2022-06-09
22,52,89986,Suburban,55087,2023-07-28
23,45,81089,Suburban,31891,2022-11-27
24,37,45277,Urban_Mid_Income,34112,2023-01-20
25,61,81099,Urban_Mid_Income,59232,2022-12-25
26,22,91856,Urban_Mid_Income,59359,2022-08-22
27,39,68905,Urban_Mid_Income,38545,2022-08-21
28,41,70028,Suburban,29652,2023-01-21
29,35,61333,Suburban,28982,2023-01-20
30,41,45044,Urban_Mid_Income,35712,2023-02-20
31,38,54536,Suburban,22964,2022-10-21
32,63,111059,Urban_Mid_Income,63069,2022-05-24
33,27,28517,Rural,9136,2023-10-22
34,52,61049,Urban_Mid_Income,43024,2022-05-28
35,50,63989,Suburban,31570,2022-12-04
36,59,71710,Rural,29009,2023-02-19
37,54,42191,Rural,29897,2023-07-26
38,57,83922,Urban_Mid_Income,33095,2022-08-21
39,49,78412,Urban_Mid_Income,58302,2022-04-30
40,51,68268,Rural,40302,2022-04-22
41,44,60717,Urban_High_Income,39220,2023-12-21
42,22,30935,Rural,14949,2023-01-27
43,54,79826,Rural,27686,2023-04-15
44,55,75444,Urban_Mid_Income,46441,2022-08-14
45,62,106751,Urban_Mid_Income,78151,2023-10-21
46,41,74022,Suburban,32553,2023-06-02
47,49,71506,Urban_Mid_Income,55904,2022-04-26
48,57,76506,Urban_Mid_Income,35075,2022-05-08
49,58,77455,Urban_Mid_Income,59253,2023-11-17
50,42,59820,Urban_High_Income,44188,2022-04-14
51,27,78413,Suburban,35035,2023-06-22
52,49,99613,Rural,69644,2022-11-17
53,33,68242,Urban_High_Income,50725,2022-05-23
54,44,53500,Urban_Mid_Income,17011,2023-10-27
55,35,67917,Urban_Mid_Income,21694,2022-02-23
56,56,78998,Suburban,34425,2023-09-12
57,77,146984,Suburban,90941,2023-10-18
58,18,30237,Rural,21093,2023-08-27
59,31,47202,Suburban,16069,2022-05-07
60,23,43173,Suburban,16329,2022-04-06
61,56,110612,Suburban,48665,2022-09-29
62,30,91248,Suburban,60681,2022-03-17
63,31,53818,Suburban,18679,2022-04-04
64,38,66815,Rural,23313,2023-03-08
65,34,20000,Rural,12497,2023-06-06
66,37,49602,Rural,15260,2023-10-21
67,48,94464,Suburban,36035,2022-12-02
68,43,65120,Suburban,50150,2023-10-26
69,26,55857,Suburban,39413,2023-03-03
70,48,51169,Rural,38514,2023-07-10
71,33,34995,Urban_Mid_Income,11180,2022-02-04
72,24,71740,Urban_Mid_Income,45972,2023-02-22
73,71,96434,Urban_Mid_Income,45726,2022-03-16
74,54,64509,Rural,28449,2023-01-29
75,70,134851,Suburban,89787,2023-07-02
76,31,73030,Urban_Mid_Income,55895,2022-02-06
77,59,97936,Urban_Mid_Income,41047,2022-09-30
78,18,40622,Suburban,18232,2022-01-19
79,37,50311,Urban_Mid_Income,38993,2023-01-19
80,29,55184,Suburban,19085,2023-01-31
81,59,97071,Urban_Mid_Income,67541,2023-07-23
82,46,124596,Urban_High_Income,81350,2023-08-11
83,43,73910,Suburban,53159,2022-06-23
