customer_id,segment,monetary_value,frequency,recency,avg_transaction_value,age,income,region,customer_lifetime_value,purchase_frequency_category,value_tier
1,New_Customers,3948.28,41,3,96.29951219512196,25,51815,Urban_Mid_Income,3948.28,Med-Low,Silver
2,New_Customers,5402.38,63,3,85.7520634920635,28,47446,Suburban,5402.38,Med-High,Silver
3,New_Customers,5159.14,55,1,93.80254545454548,34,48077,Rural,5159.14,Medium,Silver
4,VIP_Champions,6321.06,63,2,100.33428571428573,42,63499,Suburban,6321.06,Med-High,Gold
5,New_Customers,4200.01,48,39,87.50020833333333,38,42221,Rural,4200.01,Med-Low,Silver
6,Potential_Loyalists,5910.75,54,6,109.45833333333331,59,59555,Rural,5910.75,Medium,Gold
7,VIP_Champions,6559.28,59,2,111.1742372881356,43,98555,Urban_High_Income,6559.28,Medium,Gold
8,VIP_Champions,6487.47,56,24,115.84767857142856,32,108862,Urban_High_Income,6487.47,Medium,Gold
9,New_Customers,2530.74,36,34,70.29833333333333,36,28657,Rural,2530.74,Low,Bronze
10,Potential_Loyalists,6173.73,50,27,123.4746,80,126395,Urban_Mid_Income,6173.73,Medium,Gold
11,New_Customers,3204.52,46,7,69.66347826086957,18,20000,Rural,3204.52,Med-Low,Bronze
12,New_Customers,3696.11,54,4,68.44648148148148,26,28160,Urban_High_Income,3696.11,Medium,Bronze
13,New_Customers,4885.85,42,0,116.32976190476192,43,80079,Suburban,4885.85,Med-Low,Silver
14,New_Customers,4574.0,52,12,87.96153846153847,31,46417,Rural,4574.0,Medium,Silver
15,Potential_Loyalists,5029.8,46,1,109.34347826086956,55,91437,Urban_Mid_Income,5029.8,Med-Low,Silver
16,New_Customers,3037.99,32,12,94.9371875,19,58159,Urban_Mid_Income,3037.99,Low,Bronze
17,VIP_Champions,6824.92,52,12,131.24846153846153,56,118977,Suburban,6824.92,Medium,Gold
18,VIP_Champions,6422.35,58,7,110.73017241379311,47,65697,Suburban,6422.35,Medium,Gold
19,New_Customers,4921.51,53,22,92.85867924528304,32,60247,Urban_Mid_Income,4921.51,Medium,Silver
20,New_Customers,3322.23,32,43,103.8196875,20,74698,Urban_High_Income,3322.23,Low,Bronze
21,Potential_Loyalists,5343.09,47,51,113.68276595744682,64,80733,Urban_Mid_Income,5343.09,Med-Low,Silver
22,New_Customers,4837.59,44,8,109.94522727272728,52,89986,Suburban,4837.59,Med-Low,Silver
23,Potential_Loyalists,5479.52,48,15,114.15666666666668,45,81089,Suburban,5479.52,Med-Low,Silver
24,New_Customers,5960.91,56,3,106.44482142857144,37,45277,Urban_Mid_Income,5960.91,Medium,Gold
25,Potential_Loyalists,5386.53,50,11,107.7306,61,81099,Urban_Mid_Income,5386.53,Medium,Silver
26,New_Customers,3923.46,30,20,130.782,22,91856,Urban_Mid_Income,3923.46,Low,Silver
27,New_Customers,5788.8,57,6,101.55789473684212,39,68905,Urban_Mid_Income,5788.8,Medium,Gold
28,VIP_Champions,7291.48,65,0,112.1766153846154,41,70028,Suburban,7291.48,Med-High,Gold
29,New_Customers,6000.39,56,13,107.14982142857144,35,61333,Suburban,6000.39,Medium,Gold
30,New_Customers,4374.64,46,24,95.1008695652174,41,45044,Urban_Mid_Income,4374.64,Med-Low,Silver
31,New_Customers,4612.4400000000005,44,6,104.82818181818185,38,54536,Suburban,4612.4400000000005,Med-Low,Silver
32,VIP_Champions,6896.06,54,7,127.70481481481482,63,111059,Urban_Mid_Income,6896.06,Medium,Gold
33,New_Customers,3264.15,42,16,77.71785714285714,27,28517,Rural,3264.15,Med-Low,Bronze
34,Potential_Loyalists,5301.1,50,20,106.022,52,61049,Urban_Mid_Income,5301.1,Medium,Silver
35,New_Customers,5246.83,51,1,102.87901960784312,50,63989,Suburban,5246.83,Medium,Silver
36,VIP_Champions,6312.74,58,6,108.8403448275862,59,71710,Rural,6312.74,Medium,Gold
37,New_Customers,4933.6,45,49,109.63555555555556,54,42191,Rural,4933.6,Med-Low,Silver
38,VIP_Champions,6792.73,58,18,117.1160344827586,57,83922,Urban_Mid_Income,6792.73,Medium,Gold
39,VIP_Champions,6597.45,58,3,113.74913793103448,49,78412,Urban_Mid_Income,6597.45,Medium,Gold
40,New_Customers,5504.5,55,6,100.08181818181818,51,68268,Rural,5504.5,Medium,Silver
41,New_Customers,4831.36,45,1,107.36355555555556,44,60717,Urban_High_Income,4831.36,Med-Low,Silver
42,New_Customers,4890.61,55,2,88.92018181818182,22,30935,Rural,4890.61,Medium,Silver
43,Potential_Loyalists,5645.51,53,19,106.5190566037736,54,79826,Rural,5645.51,Medium,Silver
44,Potential_Loyalists,4904.23,49,6,100.08632653061224,55,75444,Urban_Mid_Income,4904.23,Med-Low,Silver
45,Potential_Loyalists,5303.83,46,1,115.30065217391304,62,106751,Urban_Mid_Income,5303.83,Med-Low,Silver
46,New_Customers,5753.33,56,6,102.73803571428572,41,74022,Suburban,5753.33,Medium,Gold
47,Potential_Loyalists,5855.32,52,12,112.60230769230768,49,71506,Urban_Mid_Income,5855.32,Medium,Gold
